fdc_id,data_type,description,nutrient_id,amount,nutrient_name,unit_name,brand_name,branded_food_category
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1257,0.0,"Fatty acids, total trans",G,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1253,0.0,Cholesterol,MG,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1008,387.0,Energy,KCAL,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1089,17.42,"Iron, Fe",MG,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1162,0.0,"Vitamin C, total ascorbic acid",MG,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1258,1.61,"Fatty acids, total saturated",G,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1087,645.0,"Calcium, Ca",MG,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1093,613.0,"Sodium, Na",MG,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1104,0.0,"Vitamin A, IU",IU,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,2000,6.45,"Sugars, total including NLEA",G,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1079,3.2,"Fiber, total dietary",G,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1005,22.58,"Carbohydrate, by difference",G,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1004,1.61,Total lipid (fat),G,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1003,64.52,Protein,G,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1210,0.755,Tryptophan,G,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1215,0.694,Methionine,G,,"Energy, Protein & Muscle Recovery Drinks"
405068,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1224,10.368,Glutamic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
